Quarter,Time,Tm,Detail,BUF,IND,week,year,game_id
1.0,12:14,Bills,Taron Johnson 23 yard interception return (Tyler Bass kick),7,0,10.0,2024,145
,5:33,Bills,Tyler Bass 29 yard field goal,10,0,10.0,2024,145
,3:31,Colts,Matt Gay 27 yard field goal,10,3,10.0,2024,145
2.0,9:22,Colts,Tyler Goodson 2 yard pass from Joe Flacco (Matt Gay kick),10,10,10.0,2024,145
,6:32,Colts,Matt Gay 23 yard field goal,10,13,10.0,2024,145
,2:14,Bills,Josh Allen 13 yard rush (Tyler Bass kick),17,13,10.0,2024,145
,0:00,Bills,Tyler Bass 47 yard field goal,20,13,10.0,2024,145
4.0,10:58,Bills,Tyler Bass 28 yard field goal,23,13,10.0,2024,145
,3:04,Bills,James Cook 2 yard rush (Tyler Bass kick),30,13,10.0,2024,145
,0:02,Colts,Alec Pierce 10 yard pass from Joe Flacco (Matt Gay kick),30,20,10.0,2024,145
