Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Bryce Young,CAR,1,4,0,4,5.0,2023,68
Chuba Hubbard,CAR,9,35,0,6,5.0,2023,68
Miles Sanders,CAR,7,32,0,9,5.0,2023,68
Laviska Shenault Jr.,CAR,5,27,0,11,5.0,2023,68
Andy Dalton,CAR,1,1,0,1,5.0,2023,68
Adam Thielen,CAR,0,0,0,0,5.0,2023,68
Jonathan Mingo,CAR,0,0,0,0,5.0,2023,68
DJ Chark,CAR,0,0,0,0,5.0,2023,68
Ian Thomas,CAR,0,0,0,0,5.0,2023,68
Hayden Hurst,CAR,0,0,0,0,5.0,2023,68
Tommy Tremble,CAR,0,0,0,0,5.0,2023,68
Jared Goff,DET,2,0,1,1,5.0,2023,68
David Montgomery,DET,19,109,1,42,5.0,2023,68
Craig Reynolds,DET,7,52,1,19,5.0,2023,68
Josh Reynolds,DET,0,0,0,0,5.0,2023,68
Sam LaPorta,DET,0,0,0,0,5.0,2023,68
Kalif Raymond,DET,0,0,0,0,5.0,2023,68
Marvin Jones,DET,0,0,0,0,5.0,2023,68
Brock Wright,DET,0,0,0,0,5.0,2023,68
Zonovan Knight,DET,0,0,0,0,5.0,2023,68
Jameson Williams,DET,0,0,0,0,5.0,2023,68
Teddy Bridgewater,DET,2,-2,0,-1,5.0,2023,68
