Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Dak Prescott,DAL,1,2,0,2,5.0,2023,77
Cooper Rush,DAL,1,-2,0,-2,5.0,2023,77
Tony Pollard,DAL,8,29,0,10,5.0,2023,77
Rico Dowdle,DAL,5,15,0,8,5.0,2023,77
Deuce Vaughn,DAL,3,7,0,4,5.0,2023,77
Brandin Cooks,DAL,1,6,0,6,5.0,2023,77
CeeDee Lamb,DAL,0,0,0,0,5.0,2023,77
Jake Ferguson,DAL,0,0,0,0,5.0,2023,77
KaVontae Turpin,DAL,0,0,0,0,5.0,2023,77
Michael Gallup,DAL,0,0,0,0,5.0,2023,77
Luke Schoonmaker,DAL,0,0,0,0,5.0,2023,77
Brock Purdy,SFO,0,0,0,0,5.0,2023,77
Sam Darnold,SFO,1,-1,0,-1,5.0,2023,77
Jordan Mason,SFO,10,69,1,26,5.0,2023,77
Christian McCaffrey,SFO,19,51,1,8,5.0,2023,77
Deebo Samuel,SFO,5,30,0,11,5.0,2023,77
Tyrion Davis-Price,SFO,6,21,0,15,5.0,2023,77
George Kittle,SFO,0,0,0,0,5.0,2023,77
Brandon Aiyuk,SFO,0,0,0,0,5.0,2023,77
Kyle Juszczyk,SFO,0,0,0,0,5.0,2023,77
Jauan Jennings,SFO,0,0,0,0,5.0,2023,77
Ray-Ray McCloud,SFO,0,0,0,0,5.0,2023,77
Ronnie Bell,SFO,0,0,0,0,5.0,2023,77
