Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Lamar Jackson,BAL,1,1,5.0,2023,72
Gus Edwards,BAL,0,0,5.0,2023,72
Justice Hill,BAL,1,1,5.0,2023,72
Zay Flowers,BAL,0,0,5.0,2023,72
Mark Andrews,BAL,0,0,5.0,2023,72
Nelson Agholor,BAL,1,0,5.0,2023,72
Odell Beckham Jr.,BAL,0,0,5.0,2023,72
Rashod Bateman,BAL,0,0,5.0,2023,72
Devin Duvernay,BAL,0,0,5.0,2023,72
Kenny Pickett,PIT,0,0,5.0,2023,72
Jaylen Warren,PIT,0,0,5.0,2023,72
Najee Harris,PIT,0,0,5.0,2023,72
George Pickens,PIT,0,0,5.0,2023,72
Allen Robinson,PIT,0,0,5.0,2023,72
Connor Heyward,PIT,0,0,5.0,2023,72
Miles Boykin,PIT,0,0,5.0,2023,72
Calvin Austin III,PIT,0,0,5.0,2023,72
Darnell Washington,PIT,0,0,5.0,2023,72
