Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,RPO,RPO,RPO,RPO,RPO,RPO,PlayAction,PlayAction,Player_URL
Tm,G,Cmp,Att,Yds,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,
Atlanta Falcons,1,27,42,289,0,0.0,0.0,0.0,0,0,7,3.0,
Buffalo Bills,1,33,46,389,3,3.0,0.0,0.0,3,3,4,-1.0,
Carolina Panthers,1,18,35,142,3,10.0,3.0,10.0,0,0,2,3.0,
Chicago Bears,1,21,35,198,0,0.0,0.0,0.0,0,0,0,0.0,
Cincinnati Bengals,1,14,23,95,2,0.0,2.0,0.0,0,0,3,18.0,
Cleveland Browns,1,31,45,278,4,29.0,4.0,29.0,0,0,7,26.0,
Indianapolis Colts,1,22,29,262,6,47.0,6.0,47.0,0,0,13,121.0,
Arizona Cardinals,1,21,29,130,2,47.0,1.0,45.0,1,2,5,4.0,
Dallas Cowboys,1,21,34,188,7,69.0,0.0,0.0,7,69,4,40.0,
Denver Broncos,1,25,40,166,0,0.0,0.0,0.0,0,0,0,0.0,
Detroit Lions,1,31,39,200,6,4.0,1.0,1.0,5,3,11,61.0,
Green Bay Packers,1,16,22,188,12,57.0,3.0,22.0,9,35,15,71.0,
Houston Texans,1,19,27,151,2,17.0,2.0,17.0,0,0,2,14.0,
Jacksonville Jaguars,1,19,31,178,0,0.0,0.0,0.0,0,0,4,25.0,
Kansas City Chiefs,1,24,39,249,0,0.0,0.0,0.0,0,0,0,0.0,
Miami Dolphins,1,19,31,133,2,11.0,2.0,11.0,0,0,4,16.0,
Minnesota Vikings,1,13,20,134,0,0.0,0.0,0.0,0,0,0,0.0,
New Orleans Saints,1,27,46,208,3,6.0,2.0,4.0,1,2,0,0.0,
New England Patriots,1,30,46,276,0,0.0,0.0,0.0,0,0,1,10.0,
New York Giants,1,17,37,157,0,0.0,0.0,0.0,0,0,0,0.0,
New York Jets,1,16,22,212,3,23.0,0.0,0.0,3,23,6,39.0,
Tennessee Titans,1,12,28,62,0,0.0,0.0,0.0,0,0,0,0.0,
Philadelphia Eagles,1,19,23,144,7,27.0,1.0,5.0,6,22,3,6.0,
Pittsburgh Steelers,1,22,30,218,5,49.0,2.0,32.0,3,17,11,102.0,
Las Vegas Raiders,1,24,34,333,0,0.0,0.0,0.0,0,0,0,0.0,
Los Angeles Rams,1,21,29,224,0,0.0,0.0,0.0,0,0,9,108.0,
Baltimore Ravens,1,14,19,194,10,73.0,1.0,23.0,9,50,3,36.0,
Los Angeles Chargers,1,25,34,304,0,0.0,0.0,0.0,0,0,0,0.0,
Seattle Seahawks,1,16,23,146,0,0.0,0.0,0.0,0,0,2,21.0,
San Francisco 49ers,1,26,35,265,2,12.0,2.0,12.0,0,0,3,25.0,
Tampa Bay Buccaneers,1,17,32,159,0,0.0,0.0,0.0,0,0,9,45.0,
Washington Commanders,1,19,30,212,1,,,,1,7,1,,
