#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,14:11,IND 31,5,2:47,19,Punt,0,Colts,9.0,2022,131
2,1,9:34,NWE 42,3,2:02,-6,Punt,0,Colts,9.0,2022,131
3,1,3:21,IND 24,3,2:05,0,Punt,0,Colts,9.0,2022,131
4,2,13:30,IND 25,3,1:40,3,Punt,0,Colts,9.0,2022,131
5,2,8:50,IND 25,3,1:52,1,Blocked Punt,0,Colts,9.0,2022,131
6,2,6:12,IND 23,5,2:54,8,Punt,0,Colts,9.0,2022,131
7,2,1:34,IND 30,9,1:16,49,Missed FG,0,Colts,9.0,2022,131
8,3,15:00,IND 25,3,1:36,1,Punt,0,Colts,9.0,2022,131
9,3,12:40,NWE 40,8,4:40,18,Field Goal,0,Colts,9.0,2022,131
10,3,4:17,IND 24,3,1:34,7,Punt,0,Colts,9.0,2022,131
11,3,1:45,IND 36,4,1:50,9,Downs,0,Colts,9.0,2022,131
12,4,10:10,IND 25,3,1:40,-5,Punt,0,Colts,9.0,2022,131
13,4,5:09,IND 11,3,1:10,-5,Interception,0,Colts,9.0,2022,131
14,4,3:59,IND 25,6,1:19,27,Downs,0,Colts,9.0,2022,131
15,4,0:29,IND 40,1,0:29,5,End of Game,0,Colts,9.0,2022,131
