Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Joe Flacco,NYJ,0,0,18.0,2022,265
Zonovan Knight,NYJ,1,0,18.0,2022,265
Ty Johnson,NYJ,0,0,18.0,2022,265
Michael Carter,NYJ,0,0,18.0,2022,265
Garrett Wilson,NYJ,0,0,18.0,2022,265
Corey Davis,NYJ,0,0,18.0,2022,265
Tyler Conklin,NYJ,0,0,18.0,2022,265
Elijah Moore,NYJ,1,0,18.0,2022,265
Jeremy Ruckert,NYJ,0,0,18.0,2022,265
Skylar Thompson,MIA,0,0,18.0,2022,265
Jeff Wilson,MIA,0,0,18.0,2022,265
Raheem Mostert,MIA,0,0,18.0,2022,265
Jaylen Waddle,MIA,0,0,18.0,2022,265
Salvon Ahmed,MIA,0,0,18.0,2022,265
Mike Gesicki,MIA,0,0,18.0,2022,265
Durham Smythe,MIA,0,0,18.0,2022,265
Tyreek Hill,MIA,0,0,18.0,2022,265
River Cracraft,MIA,0,0,18.0,2022,265
Erik Ezukanma,MIA,0,0,18.0,2022,265
