Quarter,Time,Tm,Detail,SFO,SEA,week,year,game_id
1.0,3:58,49ers,Matthew Wright 25 yard field goal,3,0,6.0,2024,79
2.0,13:30,49ers,Deebo Samuel 76 yard pass from Brock Purdy (Matthew Wright kick),10,0,6.0,2024,79
,11:47,49ers,Matthew Wright 41 yard field goal,13,0,6.0,2024,79
,2:33,49ers,Matthew Wright 35 yard field goal,16,0,6.0,2024,79
,0:00,Seahawks,Jason Myers 20 yard field goal,16,3,6.0,2024,79
3.0,10:07,49ers,George Kittle 10 yard pass from Brock Purdy (Matthew Wright kick),23,3,6.0,2024,79
,9:54,Seahawks,Laviska Shenault Jr. 97 yard kickoff return (Jason Myers kick),23,10,6.0,2024,79
,1:24,Seahawks,Kenneth Walker III 1 yard rush (Jason Myers kick),23,17,6.0,2024,79
4.0,6:20,49ers,George Kittle 9 yard pass from Brock Purdy (run failed),29,17,6.0,2024,79
,1:44,Seahawks,Tyler Lockett 9 yard pass from Geno Smith (Jason Myers kick),29,24,6.0,2024,79
,1:17,49ers,Kyle Juszczyk 6 yard rush (Matthew Wright kick),36,24,6.0,2024,79
