Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Jayden Daniels,WAS,0,0,6.0,2024,86
Austin Ekeler,WAS,0,0,6.0,2024,86
Jeremy McNichols,WAS,0,0,6.0,2024,86
Zach Ertz,WAS,0,0,6.0,2024,86
Noah Brown,WAS,0,0,6.0,2024,86
Terry McLaurin,WAS,0,0,6.0,2024,86
Olamide Zaccheaus,WAS,0,0,6.0,2024,86
Dyami Brown,WAS,0,0,6.0,2024,86
Luke McCaffrey,WAS,0,0,6.0,2024,86
Lamar Jackson,BAL,0,0,6.0,2024,86
Derrick Henry,BAL,0,0,6.0,2024,86
Zay Flowers,BAL,0,0,6.0,2024,86
Justice Hill,BAL,0,0,6.0,2024,86
Rashod Bateman,BAL,0,0,6.0,2024,86
Mark Andrews,BAL,0,0,6.0,2024,86
Isaiah Likely,BAL,0,0,6.0,2024,86
Nelson Agholor,BAL,0,0,6.0,2024,86
