Quarter,Time,Tm,Detail,ATL,CAR,week,year,game_id
1.0,5:56,Panthers,Diontae Johnson 10 yard pass from Andy Dalton (Eddy Piñeiro kick),0,7,6.0,2024,89
,0:38,Falcons,Bijan Robinson 5 yard rush (Younghoe Koo kick),7,7,6.0,2024,89
2.0,8:48,Panthers,Eddy Piñeiro 24 yard field goal,7,10,6.0,2024,89
,6:03,Falcons,Bijan Robinson 7 yard rush (Tyler Allgeier run),15,10,6.0,2024,89
,1:42,Falcons,Drake London 3 yard pass from Kirk Cousins (Younghoe Koo kick),22,10,6.0,2024,89
,0:07,Panthers,Xavier Legette 7 yard pass from Andy Dalton (Eddy Piñeiro kick),22,17,6.0,2024,89
3.0,10:04,Falcons,Younghoe Koo 21 yard field goal,25,17,6.0,2024,89
,4:51,Panthers,Eddy Piñeiro 40 yard field goal,25,20,6.0,2024,89
,0:07,Falcons,Younghoe Koo 31 yard field goal,28,20,6.0,2024,89
4.0,5:38,Falcons,Tyler Allgeier 2 yard rush (Younghoe Koo kick),35,20,6.0,2024,89
,2:11,Falcons,Younghoe Koo 35 yard field goal,38,20,6.0,2024,89
