Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Mason Rudolph,PIT,2,-1,0,0,18.0,2023,257
Najee Harris,PIT,26,112,1,15,18.0,2023,257
Jaylen Warren,PIT,9,33,0,23,18.0,2023,257
Calvin Austin III,PIT,1,8,0,8,18.0,2023,257
George Pickens,PIT,1,3,0,3,18.0,2023,257
Diontae Johnson,PIT,0,0,0,0,18.0,2023,257
Pat Freiermuth,PIT,0,0,0,0,18.0,2023,257
Connor Heyward,PIT,0,0,0,0,18.0,2023,257
Allen Robinson,PIT,0,0,0,0,18.0,2023,257
Tyler Huntley,BAL,8,40,0,11,18.0,2023,257
Gus Edwards,BAL,10,48,0,29,18.0,2023,257
Melvin Gordon,BAL,7,18,0,6,18.0,2023,257
Nelson Agholor,BAL,0,0,0,0,18.0,2023,257
Isaiah Likely,BAL,0,0,0,0,18.0,2023,257
Justice Hill,BAL,0,0,0,0,18.0,2023,257
Charlie Kolar,BAL,0,0,0,0,18.0,2023,257
Laquon Treadwell,BAL,0,0,0,0,18.0,2023,257
Tylan Wallace,BAL,0,0,0,0,18.0,2023,257
