Quarter,Time,Tm,Detail,ARI,CAR,week,year,game_id
1,4:55,Panthers,Chuba Hubbard 4 yard rush (Eddy Piñeiro kick),0,7,16.0,2024,229
2,14:37,Cardinals,Chad Ryland 48 yard field goal,3,7,16.0,2024,229
,11:35,Panthers,Bryce Young 23 yard rush (Eddy Piñeiro kick failed),3,13,16.0,2024,229
,7:55,Panthers,Adam Thielen 8 yard pass from Bryce Young (Eddy Piñeiro kick),3,20,16.0,2024,229
,5:57,Cardinals,James Conner 6 yard rush (Chad Ryland kick),10,20,16.0,2024,229
,0:07,Cardinals,DeeJay Dallas 1 yard pass from Kyler Murray (Chad Ryland kick),17,20,16.0,2024,229
3,9:31,Panthers,Eddy Piñeiro 29 yard field goal,17,23,16.0,2024,229
,5:00,Cardinals,Chad Ryland 30 yard field goal,20,23,16.0,2024,229
4,12:04,Panthers,David Moore 18 yard pass from Bryce Young (Eddy Piñeiro kick),20,30,16.0,2024,229
,6:56,Cardinals,Kyler Murray 20 yard rush (Chad Ryland kick),27,30,16.0,2024,229
,0:00,Cardinals,Chad Ryland 58 yard field goal,30,30,16.0,2024,229
OT,3:18,Panthers,Chuba Hubbard 21 yard rush,30,36,16.0,2024,229
