Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Baker Mayfield,TAM,21,34,173,2,0,1,4,28,94.4,1.0,2023,7
Rachaad White,TAM,0,0,0,0,0,0,0,0,,1.0,2023,7
Sean Tucker,TAM,0,0,0,0,0,0,0,0,,1.0,2023,7
Chase Edmonds,TAM,0,0,0,0,0,0,0,0,,1.0,2023,7
Mike Evans,TAM,0,0,0,0,0,0,0,0,,1.0,2023,7
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,1.0,2023,7
Cade Otton,TAM,0,0,0,0,0,0,0,0,,1.0,2023,7
Deven Thompkins,TAM,0,0,0,0,0,0,0,0,,1.0,2023,7
Trey Palmer,TAM,0,0,0,0,0,0,0,0,,1.0,2023,7
Ko Kieft,TAM,0,0,0,0,0,0,0,0,,1.0,2023,7
Rakim Jarrett,TAM,0,0,0,0,0,0,0,0,,1.0,2023,7
Kirk Cousins,MIN,33,44,344,2,1,2,16,42,102.8,1.0,2023,7
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,1.0,2023,7
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,1.0,2023,7
Jordan Addison,MIN,0,0,0,0,0,0,0,0,,1.0,2023,7
T.J. Hockenson,MIN,0,0,0,0,0,0,0,0,,1.0,2023,7
Josh Oliver,MIN,0,0,0,0,0,0,0,0,,1.0,2023,7
K.J. Osborn,MIN,0,0,0,0,0,0,0,0,,1.0,2023,7
Ty Chandler,MIN,0,0,0,0,0,0,0,0,,1.0,2023,7
C.J. Ham,MIN,0,0,0,0,0,0,0,0,,1.0,2023,7
