Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Brock Purdy,SFO,3,20,0,17,1.0,2023,9
Christian McCaffrey,SFO,22,152,1,65,1.0,2023,9
Elijah Mitchell,SFO,5,10,0,4,1.0,2023,9
Deebo Samuel,SFO,2,8,0,5,1.0,2023,9
Brandon Aiyuk,SFO,0,0,0,0,1.0,2023,9
George Kittle,SFO,0,0,0,0,1.0,2023,9
Jauan Jennings,SFO,0,0,0,0,1.0,2023,9
Sam Darnold,SFO,2,-2,0,-1,1.0,2023,9
Kenny Pickett,PIT,1,4,0,4,1.0,2023,9
Najee Harris,PIT,6,31,0,24,1.0,2023,9
Jaylen Warren,PIT,3,6,0,3,1.0,2023,9
Allen Robinson,PIT,0,0,0,0,1.0,2023,9
Diontae Johnson,PIT,0,0,0,0,1.0,2023,9
Calvin Austin III,PIT,0,0,0,0,1.0,2023,9
George Pickens,PIT,0,0,0,0,1.0,2023,9
Connor Heyward,PIT,0,0,0,0,1.0,2023,9
Anthony McFarland Jr.,PIT,0,0,0,0,1.0,2023,9
Pat Freiermuth,PIT,0,0,0,0,1.0,2023,9
