Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Jordan Love,GNB,1,0,1.0,2023,10
Aaron Jones,GNB,0,0,1.0,2023,10
Patrick Taylor,GNB,0,0,1.0,2023,10
AJ Dillon,GNB,0,0,1.0,2023,10
Luke Musgrave,GNB,0,0,1.0,2023,10
Romeo Doubs,GNB,0,0,1.0,2023,10
Samori Toure,GNB,0,0,1.0,2023,10
Dontayvion Wicks,GNB,0,0,1.0,2023,10
Malik Heath,GNB,0,0,1.0,2023,10
Sean Clifford,GNB,1,0,1.0,2023,10
Jayden Reed,GNB,0,0,1.0,2023,10
Justin Fields,CHI,1,1,1.0,2023,10
Khalil Herbert,CHI,0,0,1.0,2023,10
Roschon Johnson,CHI,0,0,1.0,2023,10
D'Onta Foreman,CHI,0,0,1.0,2023,10
Darnell Mooney,CHI,0,0,1.0,2023,10
Cole Kmet,CHI,0,0,1.0,2023,10
D.J. Moore,CHI,0,0,1.0,2023,10
Tyler Scott,CHI,0,0,1.0,2023,10
Chase Claypool,CHI,0,0,1.0,2023,10
Khari Blasingame,CHI,0,0,1.0,2023,10
