Quarter,Time,Tm,Detail,PHI,WAS,week,year,game_id
1.0,7:13,Commanders,Terry McLaurin 26 yard pass from Sam Howell (Joey Slye kick),0,7,8.0,2023,116
,2:11,Eagles,Jake Elliott 51 yard field goal,3,7,8.0,2023,116
2.0,12:40,Commanders,Jahan Dotson 21 yard pass from Sam Howell (Joey Slye kick),3,14,8.0,2023,116
,0:34,Eagles,A.J. Brown 16 yard pass from Jalen Hurts (Jake Elliott kick),10,14,8.0,2023,116
,0:01,Commanders,Joey Slye 61 yard field goal,10,17,8.0,2023,116
3.0,4:17,Eagles,A.J. Brown 25 yard pass from Jalen Hurts (Jake Elliott kick),17,17,8.0,2023,116
4.0,12:03,Commanders,Logan Thomas 7 yard pass from Sam Howell (Joey Slye kick),17,24,8.0,2023,116
,8:47,Eagles,DeVonta Smith 38 yard pass from Jalen Hurts (Jake Elliott kick),24,24,8.0,2023,116
,7:17,Eagles,Julio Jones 8 yard pass from Jalen Hurts (Jake Elliott kick),31,24,8.0,2023,116
,1:50,Eagles,D'Andre Swift 7 yard rush (Jake Elliott kick),38,24,8.0,2023,116
,1:01,Commanders,Jamison Crowder 26 yard pass from Sam Howell (Joey Slye kick),38,31,8.0,2023,116
