Quarter,Time,Tm,Detail,JAX,DET,week,year,game_id
1.0,10:55,Lions,Jamaal Williams 1 yard rush (Michael Badgley kick),0,7,13.0,2022,184
,7:42,Jaguars,Riley Patterson 31 yard field goal,3,7,13.0,2022,184
,4:04,Lions,Amon-Ra St. Brown 10 yard pass from Jared Goff (Michael Badgley kick),3,14,13.0,2022,184
2.0,12:39,Lions,Michael Badgley 45 yard field goal,3,17,13.0,2022,184
,6:58,Lions,Michael Badgley 47 yard field goal,3,20,13.0,2022,184
,4:15,Jaguars,Riley Patterson 42 yard field goal,6,20,13.0,2022,184
,0:31,Lions,Michael Badgley 38 yard field goal,6,23,13.0,2022,184
3.0,10:35,Lions,D'Andre Swift 1 yard rush (Michael Badgley kick),6,30,13.0,2022,184
,2:54,Jaguars,Evan Engram 3 yard pass from Trevor Lawrence (Jamal Agnew pass from Trevor Lawrence),14,30,13.0,2022,184
4.0,12:21,Lions,Michael Badgley 44 yard field goal,14,33,13.0,2022,184
,2:43,Lions,Amon-Ra St. Brown 4 yard pass from Jared Goff (Michael Badgley kick),14,40,13.0,2022,184
