Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Isiah Pacheco,KAN,12,62,1,4,13,1.1,49,4.1,0,,1.0,2022,11
Clyde Edwards-Helaire,KAN,7,42,0,1,15,2.1,27,3.9,0,,1.0,2022,11
Jerick McKinnon,KAN,4,22,0,1,11,2.8,11,2.8,0,,1.0,2022,11
Patrick Mahomes,KAN,3,5,0,1,5,1.7,0,0.0,0,,1.0,2022,11
Marquez Valdes-Scantling,KAN,1,-3,0,0,-3,-3.0,0,0.0,1,1.0,1.0,2022,11
James Conner,ARI,10,26,1,3,1,0.1,25,2.5,0,,1.0,2022,11
Kyler Murray,ARI,5,29,0,1,29,5.8,0,0.0,0,,1.0,2022,11
Eno Benjamin,ARI,4,28,0,1,3,0.8,25,6.3,1,4.0,1.0,2022,11
Trace McSorley,ARI,3,20,0,1,17,5.7,3,1.0,0,,1.0,2022,11
