Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Patrick Surtain II,DEN,0,6,6,100.0%,35.0,5.8,5.8,0.0,91.0,5.3,32.0,3.0,0,0,0,0.0,0,4,2,33.3%,1.0,2022,16
Alex Singleton,DEN,0,6,5,83.3%,42.0,8.4,7.0,0.0,95.8,3.7,16.0,26.0,2,2,0,0.0,2,9,2,18.2%,1.0,2022,16
Justin Simmons,DEN,0,3,3,100.0%,15.0,5.0,5.0,0.0,87.5,5.0,15.0,0.0,0,0,0,0.0,0,9,1,10.0%,1.0,2022,16
Baron Browning,DEN,0,2,2,100.0%,3.0,1.5,1.5,0.0,79.2,-2.5,-5.0,8.0,8,1,0,0.0,1,1,1,50.0%,1.0,2022,16
K'Waun Williams,DEN,0,2,2,100.0%,7.0,3.5,3.5,0.0,81.2,-4.0,-8.0,15.0,0,0,0,0.0,0,2,1,33.3%,1.0,2022,16
Jonas Griffith,DEN,0,3,2,66.7%,26.0,13.0,8.7,1.0,133.3,7.7,23.0,3.0,0,0,0,0.0,0,3,1,25.0%,1.0,2022,16
Kareem Jackson,DEN,0,2,2,100.0%,33.0,16.5,16.5,0.0,118.7,14.5,29.0,4.0,0,0,0,0.0,0,3,0,0.0%,1.0,2022,16
Jonathon Cooper,DEN,0,1,1,100.0%,0.0,0.0,0.0,0.0,79.2,-5.0,-5.0,5.0,2,0,0,0.0,0,1,0,0.0%,1.0,2022,16
Ronald Darby,DEN,0,3,1,33.3%,9.0,9.0,3.0,0.0,42.4,10.3,8.0,1.0,0,0,0,0.0,0,6,0,0.0%,1.0,2022,16
Bradley Chubb,DEN,0,0,0,,,,,,,,,,9,0,0,2.0,2,5,1,16.7%,1.0,2022,16
D.J. Jones,DEN,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,1,20.0%,1.0,2022,16
Randy Gregory,DEN,0,0,0,,,,,,,,,,7,1,0,0.0,1,1,0,0.0%,1.0,2022,16
DeShawn Williams,DEN,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%,1.0,2022,16
Mike Purcell,DEN,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%,1.0,2022,16
Cody Barton,SEA,0,8,8,100.0%,68.0,8.5,8.5,0.0,102.1,1.0,8.0,60.0,3,0,0,1.0,1,10,0,0.0%,1.0,2022,16
Jordyn Brooks,SEA,0,7,7,100.0%,90.0,12.9,12.9,0.0,118.7,5.7,40.0,50.0,4,0,0,0.0,0,12,1,7.7%,1.0,2022,16
Justin Coleman,SEA,0,6,4,66.7%,34.0,8.5,5.7,0.0,81.2,2.3,0.0,34.0,0,0,0,0.0,0,5,1,16.7%,1.0,2022,16
Josh Jones,SEA,0,5,3,60.0%,11.0,3.7,2.2,0.0,64.6,0.8,5.0,6.0,0,0,0,0.0,0,7,3,30.0%,1.0,2022,16
Michael Jackson,SEA,0,4,2,50.0%,19.0,9.5,4.8,0.0,63.5,12.8,7.0,12.0,0,0,0,0.0,0,4,2,33.3%,1.0,2022,16
Quandre Diggs,SEA,0,3,2,66.7%,8.0,4.0,2.7,0.0,70.1,12.7,6.0,2.0,0,0,0,0.0,0,5,0,0.0%,1.0,2022,16
Darrell Taylor,SEA,0,1,1,100.0%,25.0,25.0,25.0,0.0,118.7,0.0,0.0,25.0,6,2,2,0.0,4,0,0,,1.0,2022,16
Riq Woolen,SEA,0,3,1,33.3%,18.0,18.0,6.0,0.0,54.9,24.0,18.0,0.0,0,0,0,0.0,0,1,0,0.0%,1.0,2022,16
Sidney Jones,SEA,0,2,1,50.0%,17.0,17.0,8.5,0.0,79.2,12.5,17.0,0.0,1,0,0,0.0,0,1,0,0.0%,1.0,2022,16
Coby Bryant,SEA,0,1,1,100.0%,67.0,67.0,67.0,1.0,158.3,26.0,26.0,41.0,0,0,0,0.0,0,0,1,100.0%,1.0,2022,16
Uchenna Nwosu,SEA,0,0,0,,,,,,,,,,7,1,1,1.0,3,7,0,0.0%,1.0,2022,16
Boye Mafe,SEA,0,0,0,,,,,,,,,,2,2,0,0.0,2,0,0,,1.0,2022,16
Quinton Jefferson,SEA,0,0,0,,,,,,,,,,0,1,1,0.0,2,2,0,0.0%,1.0,2022,16
Shelby Harris,SEA,0,0,0,,,,,,,,,,0,1,1,0.0,2,3,1,25.0%,1.0,2022,16
Al Woods,SEA,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,1,50.0%,1.0,2022,16
Jamal Adams,SEA,0,2,0,0.0%,,,0.0,,39.6,8.5,,,1,0,1,0.0,1,3,0,0.0%,1.0,2022,16
