Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Quinn Meinerz,G,71,100%,0,0%,5,23%,1,Broncos,8.0,2023,120
Garett Bolles,T,71,100%,0,0%,5,23%,1,Broncos,8.0,2023,120
Mike McGlinchey,T,71,100%,0,0%,5,23%,1,Broncos,8.0,2023,120
Lloyd Cushenberry III,C,71,100%,0,0%,5,23%,1,Broncos,8.0,2023,120
Ben Powers,G,71,100%,0,0%,5,23%,1,Broncos,8.0,2023,120
Russell Wilson,QB,71,100%,0,0%,0,0%,1,Broncos,8.0,2023,120
Adam Trautman,TE,58,82%,0,0%,0,0%,1,Broncos,8.0,2023,120
Courtland Sutton,WR,56,79%,0,0%,0,0%,1,Broncos,8.0,2023,120
Javonte Williams,RB,45,63%,0,0%,0,0%,1,Broncos,8.0,2023,120
Jerry Jeudy,WR,42,59%,0,0%,0,0%,1,Broncos,8.0,2023,120
Chris Manhertz,TE,39,55%,0,0%,3,14%,1,Broncos,8.0,2023,120
Marvin Mims,WR,28,39%,0,0%,5,23%,1,Broncos,8.0,2023,120
Lil'Jordan Humphrey,WR,22,31%,0,0%,0,0%,1,Broncos,8.0,2023,120
Samaje Perine,RB,17,24%,0,0%,3,14%,1,Broncos,8.0,2023,120
Michael Burton,FB,14,20%,0,0%,13,59%,1,Broncos,8.0,2023,120
Quinn Bailey,G,11,15%,0,0%,5,23%,1,Broncos,8.0,2023,120
Tre'Quan Smith,WR,10,14%,0,0%,0,0%,1,Broncos,8.0,2023,120
Jaleel McLaughlin,RB,8,11%,0,0%,5,23%,1,Broncos,8.0,2023,120
Nate Adkins,TE,4,6%,0,0%,13,59%,1,Broncos,8.0,2023,120
Dwayne Washington,RB,1,1%,0,0%,14,64%,1,Broncos,8.0,2023,120
P.J. Locke,FS,0,0%,61,100%,4,18%,1,Broncos,8.0,2023,120
Justin Simmons,FS,0,0%,61,100%,3,14%,1,Broncos,8.0,2023,120
Patrick Surtain II,CB,0,0%,61,100%,3,14%,1,Broncos,8.0,2023,120
Alex Singleton,LB,0,0%,61,100%,0,0%,1,Broncos,8.0,2023,120
Fabian Moreau,CB,0,0%,61,100%,0,0%,1,Broncos,8.0,2023,120
Ja'Quan McMillian,CB,0,0%,58,95%,1,5%,1,Broncos,8.0,2023,120
Zach Allen,DE,0,0%,49,80%,4,18%,1,Broncos,8.0,2023,120
Josey Jewell,LB,0,0%,47,77%,3,14%,1,Broncos,8.0,2023,120
Jonathon Cooper,LB,0,0%,37,61%,3,14%,1,Broncos,8.0,2023,120
Baron Browning,LB,0,0%,36,59%,0,0%,1,Broncos,8.0,2023,120
Nik Bonitto,LB,0,0%,32,53%,0,0%,1,Broncos,8.0,2023,120
D.J. Jones,NT,0,0%,29,48%,0,0%,1,Broncos,8.0,2023,120
Ronnie Perkins,DE,0,0%,25,41%,0,0%,1,Broncos,8.0,2023,120
Jonathan Harris,DE,0,0%,24,39%,3,14%,1,Broncos,8.0,2023,120
Mike Purcell,NT,0,0%,10,16%,4,18%,1,Broncos,8.0,2023,120
Damarri Mathis,CB,0,0%,8,13%,7,32%,1,Broncos,8.0,2023,120
Matt Henningsen,DE,0,0%,6,10%,9,41%,1,Broncos,8.0,2023,120
Drew Sanders,LB,0,0%,4,7%,14,64%,1,Broncos,8.0,2023,120
Tremon Smith,CB,0,0%,0,0%,17,77%,1,Broncos,8.0,2023,120
Delarrin Turner-Yell,FS,0,0%,0,0%,17,77%,1,Broncos,8.0,2023,120
Justin Strnad,LB,0,0%,0,0%,17,77%,1,Broncos,8.0,2023,120
Riley Moss,CB,0,0%,0,0%,14,64%,1,Broncos,8.0,2023,120
Wil Lutz,K,0,0%,0,0%,10,45%,1,Broncos,8.0,2023,120
Riley Dixon,P,0,0%,0,0%,9,41%,1,Broncos,8.0,2023,120
Mitchell Fraboni,LS,0,0%,0,0%,9,41%,1,Broncos,8.0,2023,120
Luke Wattenberg,C,0,0%,0,0%,5,23%,1,Broncos,8.0,2023,120
