Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Kirk Cousins,ATL,23,29,276,4,0,2,11,49,145.9,8.0,2024,110
Bijan Robinson,ATL,0,0,0,0,0,0,0,0,,8.0,2024,110
Tyler Allgeier,ATL,0,0,0,0,0,0,0,0,,8.0,2024,110
Ray-Ray McCloud,ATL,0,0,0,0,0,0,0,0,,8.0,2024,110
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,8.0,2024,110
Darnell Mooney,ATL,0,0,0,0,0,0,0,0,,8.0,2024,110
Drake London,ATL,0,0,0,0,0,0,0,0,,8.0,2024,110
Charlie Woerner,ATL,0,0,0,0,0,0,0,0,,8.0,2024,110
Baker Mayfield,TAM,37,50,330,3,2,0,0,29,94.6,8.0,2024,110
Bucky Irving,TAM,0,0,0,0,0,0,0,0,,8.0,2024,110
Rachaad White,TAM,0,0,0,0,0,0,0,0,,8.0,2024,110
Jalen McMillan,TAM,0,0,0,0,0,0,0,0,,8.0,2024,110
Sean Tucker,TAM,0,0,0,0,0,0,0,0,,8.0,2024,110
Cade Otton,TAM,0,0,0,0,0,0,0,0,,8.0,2024,110
Rakim Jarrett,TAM,0,0,0,0,0,0,0,0,,8.0,2024,110
Trey Palmer,TAM,0,0,0,0,0,0,0,0,,8.0,2024,110
Ryan Miller,TAM,0,0,0,0,0,0,0,0,,8.0,2024,110
Sterling Shepard,TAM,0,0,0,0,0,0,0,0,,8.0,2024,110
Tavierre Thomas,TAM,0,0,0,0,0,0,0,0,,8.0,2024,110
