Quarter,Time,Tm,Detail,GNB,JAX,week,year,game_id
2.0,11:31,Packers,Josh Jacobs 3 yard rush (Brandon McManus kick),7,0,8.0,2024,115
,6:03,Packers,Brandon McManus 31 yard field goal,10,0,8.0,2024,115
,2:37,Jaguars,Trevor Lawrence 6 yard rush (Cam Little kick),10,7,8.0,2024,115
,0:54,Packers,Brandon McManus 38 yard field goal,13,7,8.0,2024,115
,0:03,Jaguars,Cam Little 39 yard field goal,13,10,8.0,2024,115
3.0,5:10,Jaguars,Brian Thomas 14 yard pass from Trevor Lawrence (Cam Little kick),13,17,8.0,2024,115
,0:21,Packers,Josh Jacobs 38 yard rush (Brandon McManus kick),20,17,8.0,2024,115
4.0,14:06,Packers,Tucker Kraft 3 yard pass from Malik Willis (Brandon McManus kick),27,17,8.0,2024,115
,5:36,Jaguars,Cam Little 47 yard field goal,27,20,8.0,2024,115
,1:48,Jaguars,Evan Engram 14 yard pass from Trevor Lawrence (Cam Little kick),27,27,8.0,2024,115
,0:00,Packers,Brandon McManus 24 yard field goal,30,27,8.0,2024,115
