Quarter,Time,Tm,Detail,SFO,ARI,week,year,game_id
1.0,12:48,49ers,Jake Moody 51 yard field goal,3,0,18.0,2024,267
,0:56,Cardinals,Chad Ryland 51 yard field goal,3,3,18.0,2024,267
2.0,12:55,Cardinals,Greg Dortch 23 yard pass from Kyler Murray (Chad Ryland kick),3,10,18.0,2024,267
,5:43,49ers,Patrick Taylor 1 yard rush (Jake Moody kick),10,10,18.0,2024,267
,1:51,Cardinals,Trey McBride 2 yard pass from Kyler Murray (Chad Ryland kick),10,17,18.0,2024,267
,0:16,49ers,Ricky Pearsall 6 yard pass from Joshua Dobbs (Jake Moody kick),17,17,18.0,2024,267
,0:00,Cardinals,Chad Ryland 49 yard field goal,17,20,18.0,2024,267
3.0,8:28,Cardinals,Greg Dortch 2 yard pass from Kyler Murray (run failed),17,26,18.0,2024,267
,4:49,49ers,Kyle Juszczyk 36 yard pass from Joshua Dobbs (Jake Moody kick),24,26,18.0,2024,267
4.0,14:16,Cardinals,Michael Carter 4 yard rush (Chad Ryland kick),24,33,18.0,2024,267
,5:47,Cardinals,Marvin Harrison Jr. 12 yard pass from Kyler Murray (Chad Ryland kick),24,40,18.0,2024,267
,1:47,Cardinals,Tony Jones 46 yard rush (Chad Ryland kick),24,47,18.0,2024,267
