Quarter,Time,Tm,Detail,NOR,TAM,week,year,game_id
1.0,9:16,Saints,Blake Grupe 35 yard field goal,3,0,18.0,2024,265
,4:51,Buccaneers,Chase McLaughlin 52 yard field goal,3,3,18.0,2024,265
2.0,14:52,Saints,Blake Grupe 39 yard field goal,6,3,18.0,2024,265
,6:14,Saints,Dante Pettis 5 yard pass from Spencer Rattler (Blake Grupe kick),13,3,18.0,2024,265
,1:03,Buccaneers,Chase McLaughlin 25 yard field goal,13,6,18.0,2024,265
,0:07,Saints,Blake Grupe 39 yard field goal,16,6,18.0,2024,265
3.0,10:27,Buccaneers,Payne Durham 6 yard pass from Baker Mayfield (Chase McLaughlin kick),16,13,18.0,2024,265
,5:53,Saints,Blake Grupe 49 yard field goal,19,13,18.0,2024,265
4.0,10:09,Buccaneers,Jalen McMillan 32 yard pass from Baker Mayfield (Chase McLaughlin kick),19,20,18.0,2024,265
,1:51,Buccaneers,Bucky Irving 11 yard rush (Chase McLaughlin kick),19,27,18.0,2024,265
